Donovan Mitchell,32,27.57,-0.2916,1.7651,1.4284,1.9644,-0.0658,1.2642,0.4885,-0.7792,-1.6946,"Has a great playoff performance and should continue to improve his fantasy output this season, but his lack of defensive numbers limit his ability to return top-25 value"
DeMar DeRozan,34,35.62,1.7554,2.2754,-1.6357,1.2442,0.2672,1.5452,0.2198,-0.56,-0.9599,Still manages to be a top-50 fantasy producer even though he refuses to attempt three-point shots
Andre Drummond,21,25.27,2.9083,-4.1935,-1.3938,0.6762,3.0332,-0.2135,1.9541,2.7271,-2.5597,"He's back in Cleveland this season, which is one of the few teams he's still able to produce top fantasy numbers on"
Pascal Siakam,18,21.98,-0.342,0.5332,0.91,1.4466,0.9453,0.4439,0.171,0.8279,-1.031,"Didn't handle the pressure of playoff basketball too well, but he had an off-season to work on it, and won't face the same pressure during the regular season"
Jamal Murray,37,32.19,-0.0996,1.591,0.9791,1.0073,-0.1973,1.4384,0.6107,-0.5844,-1.2087,It feels like his playoff bubble performance is going to inflate his value a little too much heading into fantasy drafts
LaMarcus Aldridge,67,78.07,0.7096,0.9467,-0.2419,0.5633,0.9083,-0.1349,-0.5862,2.2402,0.0237,"As consistent as they come, and still has another season of high-level play in him, whether it's in San Antonio or another on another roster"
Domantas Sabonis,43,41.56,2.6967,-0.8535,-1.198,0.8049,2.8811,1.0732,-0.5862,-0.1461,-1.2917,"He's clearly the best big-man on the roster, and his game meshes extremely well with the other starters in Indiana. Expect his high output to continue into this season"
D'Angelo Russell,36,40.13,-1.2125,0.8999,2.1771,1.2269,-0.4768,1.9947,0.6351,-0.5844,-1.6354,"Is in a happier scenario in Minnesota, but there's a chance some of his usage gets eaten into with the player who comes in with the number 1 pick"
Brook Lopez,93,111.26,-0.5898,0.9332,0.2765,-0.0502,-0.0534,-0.5226,-0.4152,4.5047,0.6044,Brook has found a way to extend his career as a 3-point sniper who's capable of hitting 2+ threes and getting 2+ blocks a game
Brandon Ingram,27,27.82,0.1921,0.7811,1.2901,1.2646,0.0699,0.545,0.2198,0.2922,-1.6828,Has proven that he's more than capable of continuing to stuff the stat sheet alongside a healthy Zion
Jaren Jackson Jr,92,105.17,0.3669,-0.7496,1.4284,0.9006,0.111,-0.5731,-0.1954,3.0193,-0.3911,"His output has been inconsistent to date, so expect some quiet games, but his upside is huge. May not reach it this season, but I'm expecting improvements from JJJ heading into his third season"
Christian Wood,61,73.46,2.1984,-0.5953,-0.2419,0.7045,1.7221,-0.6012,-0.6595,1.6558,-0.2489,Westbrook being traded opens up the opportunity for Wood to play a bigger role in Houston's offense
Robert Covington,54,65.18,-0.826,0.2542,1.0828,-0.1224,0.896,-0.6068,1.6854,1.6801,-0.2607,The move to PF did wonders for his already excellent fantasy game (REB went up to 8 and BLK went up to 2.2 per game in a 22 game regular season sample size in Houston)
De'Aaron Fox,47,48.48,0.8345,-1.5986,-0.4147,1.4388,-0.2754,2.7589,1.661,0.0,-2.0264,"His good categories are good (48% from the field, 21.1 PTS, 1.5 STL last season), but his bad ones are bad (70.5% from the line). If he can improve on his consistency then he's a chance to break into the top-50"
Myles Turner,90,103.28,0.3776,-0.4148,0.023,-0.0345,0.8261,-0.7136,-0.1954,3.969,0.1304,"He's not a strong rebounder, and playing next to Sabonis isn't going to help that, but what he does provide is elite shot-blocking, the ability to hit 3s, and not hurt you too much from the free-throw line"
Ja Morant,29,27.22,0.5589,0.2488,-0.2534,1.0402,-0.2589,3.0679,0.4885,-0.487,-2.4293,"Had a great rookie season. My only concern is with how ferocious he attacks the rim, given his slender frame. Capable of averaged 20 PTS and 8 AST heading into his second season"
Jrue Holiday,24,31.18,0.1485,-0.297,0.3341,0.7202,-0.1767,1.4553,1.4411,0.5113,-1.5406,He's back to playing at an elite level and has minimal competition at either of the guard spots in Milwaukee
Brandon Clarke,96,115.79,3.2761,-0.0841,-0.8985,0.1412,0.8261,-0.5169,-0.5374,1.2905,0.4622,Put up top-100 value playing 22 minutes a game last season and is set for his role to increase. Has a fantasy-friendly game with elite FG%
Jonas Valanciunas,57,70.54,2.7815,-0.3285,-1.1404,0.262,2.2975,-0.2809,-1.1725,1.1931,-0.4148,"Finished 52nd in per-game value last season, but Memphis has JJJ and Clarke capable of playing minutes at C. Should still return top 80-90 value this season"
Collin Sexton,99,103.02,0.5889,1.7183,0.3225,1.5031,-0.4973,0.6799,0.513,-1.0227,-1.3746,"At this point, we need to stop looking at Sexton as a PG. He's a score-first combo-guard, who still has potential to improve his assist numbers. He hasn't shown it yet, though"
